Mun_Code;Municipality;Comarca;Province;CCAA;Population_2024;Area_km2;Distance_km;Distance_class;Growth_2018_2021_pct;Growth_2021_2024_pct
28146;Tielmes;VEGAS;Madrid;Comunidad de Madrid;2810.0;26.58;13.85;<=30 km;6.8;1.04
09288;Quintanapalla;ARLANZON;Burgos;Castilla y León;120.0;15.86;13.86;<=30 km;5.41;2.56
08193;Sant Iscle de Vallalta;MARESME;Barcelona;Cataluña/Catalunya;1458.0;17.97;13.86;<=30 km;9.52;1.39
48086;Sopuerta;ENCARTACIONES;Bizkaia;País Vasco/Euskadi;2765.0;42.52;13.87;<=30 km;2.69;4.81
24065;Chozas de Abajo;EL PARAMO;León;Castilla y León;2678.0;100.42;13.88;<=30 km;1.25;3.16
31246;Uterga;CUENCA PAMPLONA;Navarra;Comunidad Foral de Navarra;171.0;8.62;13.89;<=30 km;3.66;0.59
09315;Revillarruz;ARLANZON;Burgos;Castilla y León;634.0;16.97;13.89;<=30 km;7.84;12.41
06132;Torremayor;MERIDA;Badajoz;Extremadura;1004.0;21.04;13.9;<=30 km;1.23;1.93
28116;Pozuelo del Rey;CAMPIÑA;Madrid;Comunidad de Madrid;1292.0;30.91;13.9;<=30 km;6.25;8.57
17901;Cruïlles, Monells i Sant Sadurní de l'Heura;BAIX EMPORDA;Girona;Cataluña/Catalunya;1329.0;100.27;13.96;<=30 km;4.16;0.15
17166;Sant Jordi Desvalls;GIRONES;Girona;Cataluña/Catalunya;871.0;11.96;13.97;<=30 km;8.89;9.42
43140;Santa Oliva;BAIX PENEDES;Tarragona;Cataluña/Catalunya;3672.0;9.49;14.0;<=30 km;3.67;6.43
25210;Soses;SEGRIA;Lleida;Cataluña/Catalunya;1881.0;30.19;14.01;<=30 km;0.96;5.61
12128;Vilafamés;LLANOS CENTRALES;Castelló/Castellón;Comunitat Valenciana;1938.0;70.6;14.04;<=30 km;0.38;5.33
08154;Pacs del Penedès;ALT PENEDÉS;Barcelona;Cataluña/Catalunya;935.0;6.11;14.08;<=30 km;0.77;2.19
37073;Calzada de Valdunciel;SALAMANCA;Salamanca;Castilla y León;700.0;20.04;14.22;<=30 km;3.25;0.29
28119;Quijorna;SUR OCCIDENTAL;Madrid;Comunidad de Madrid;4001.0;25.62;14.26;<=30 km;7.03;11.36
48035;Fruiz;MUNGUIA;Bizkaia;País Vasco/Euskadi;576.0;5.62;14.27;<=30 km;0.55;5.11
50209;Pinseque;ZARAGOZA;Zaragoza;Aragón;4551.0;16.11;14.31;<=30 km;7.06;8.77
28156;Valdeavero;CAMPIÑA;Madrid;Comunidad de Madrid;1823.0;18.71;14.31;<=30 km;10.6;9.16
28157;Valdelaguna;VEGAS;Madrid;Comunidad de Madrid;1094.0;42.05;14.33;<=30 km;13.62;6.63
45154;San Román de los Montes;TALAVERA;Toledo;Castilla-La Mancha;2112.0;44.84;14.36;<=30 km;5.24;7.26
31228;Tiebas-Muruarte de Reta;CUENCA PAMPLONA;Navarra;Comunidad Foral de Navarra;660.0;21.34;14.36;<=30 km;8.03;2.17
09304;Rabé de las Calzadas;ARLANZON;Burgos;Castilla y León;250.0;10.1;14.36;<=30 km;11.54;7.76
08013;Avinyonet del Penedès;ALT PENEDÉS;Barcelona;Cataluña/Catalunya;1744.0;29.32;14.39;<=30 km;1.92;2.53
47023;Boecillo;CENTRO;Valladolid;Castilla y León;4357.0;24.11;14.39;<=30 km;1.56;3.27
26143;Sojuela;RIOJA MEDIA;La Rioja;La Rioja;659.0;15.14;14.42;<=30 km;57.09;41.72
46212;Real;HOYA DE BUÑOL;València/Valencia;Comunitat Valenciana;2435.0;18.32;14.44;<=30 km;4.55;8.22
03045;Bolulla;CENTRAL;Alacant/Alicante;Comunitat Valenciana;486.0;13.58;14.45;<=30 km;1.91;14.08
