Mun_Code,Mun,pop_1996_2008 (k=12),pop_1998_2010 (k=12),pop_1999_2011 (k=12),pop_2000_2012 (k=12),pop_2001_2013 (k=12),pop_2002_2014 (k=12),pop_2003_2015 (k=12),pop_2004_2016 (k=12),pop_2005_2017 (k=12),pop_2006_2018 (k=12),pop_2007_2019 (k=12),pop_2008_2020 (k=12),pop_2009_2021 (k=12),pop_2010_2022 (k=12),pop_2011_2023 (k=12),pop_2012_2024 (k=12)
16119,Leganiel,-3.9840637450199203,-4.273504273504273,-6.837606837606838,-6.956521739130435,-16.46090534979424,-20.901639344262296,-20.920502092050206,-23.456790123456788,-24.793388429752067,-25.882352941176475,-21.810699588477366,-22.821576763485478,-10.300429184549357,-1.3392857142857142,0.9174311926605505,5.607476635514018
16121,"Majadas, Las",-14.030612244897958,-14.43850267379679,-12.668463611859837,-17.694369973190348,-19.672131147540984,-18.904109589041095,-20.0,-23.9010989010989,-24.431818181818183,-25.958702064896755,-28.273809523809522,-30.56379821958457,-28.440366972477065,-27.187499999999996,-30.555555555555557,-29.31596091205212
16122,Mariana,-13.77245508982036,-11.320754716981133,-8.9171974522293,-11.987381703470032,0.6389776357827476,0.9584664536741214,4.57516339869281,-5.88235294117647,-5.537459283387622,2.0905923344947737,2.356902356902357,3.4722222222222223,3.754266211604096,10.638297872340425,11.538461538461538,12.544802867383511
16123,Masegosa,-14.074074074074074,-21.09375,-0.8064516129032258,-18.11023622047244,-27.86885245901639,-34.42622950819672,-35.77235772357724,-34.45378151260504,-38.655462184873954,-42.62295081967213,-47.540983606557376,-46.55172413793103,-44.03669724770643,-38.613861386138616,-47.15447154471545,-40.38461538461539
16124,"Mesas, Las",-2.055060100814269,2.3971234518577704,2.3590563774490203,3.19967598217902,3.2586558044806515,3.347107438016529,-1.8092105263157896,-6.885508406725379,-8.035003977724742,-5.634373733279287,-4.924704924704925,-8.273950910530482,-8.803789972364786,-10.417479516191964,-11.09375,-10.8712715855573
16125,Minglanilla,9.179357021996616,15.84201388888889,18.03921568627451,19.02869757174393,7.771326485037963,3.756076005302696,1.8502581755593803,-1.992204417496752,-6.415094339622642,-12.677725118483412,-12.282780410742495,-14.839209608678807,-18.417213712618526,-15.024353690520794,-15.83610188261351,-13.87240356083086
16126,Mira,-18.836805555555554,-24.239713774597497,-25.162488393686168,-11.308016877637131,-8.543165467625899,-13.309671694764862,-16.35593220338983,-18.592964824120603,-20.53036783575706,-9.215686274509805,-8.862034239677746,-5.240641711229946,3.8901601830663615,9.090909090909092,13.151364764267989,-12.369172216936251
16128,Monreal del Llano,-7.6923076923076925,-7.0588235294117645,-5.952380952380952,-4.819277108433735,-12.048192771084338,-7.5,-5.194805194805195,-9.210526315789473,-2.8169014084507045,-5.633802816901409,-33.33333333333333,-36.904761904761905,-38.095238095238095,-36.708860759493675,-41.77215189873418,-43.037974683544306
16129,Montalbanejo,-31.65137614678899,-31.862745098039213,-33.66834170854271,-36.04060913705584,-35.9375,-35.294117647058826,-32.95454545454545,-38.4180790960452,-35.22012578616352,-32.48407643312102,-32.23684210526316,-33.557046979865774,-29.78723404255319,-33.093525179856115,-34.090909090909086,-33.33333333333333
16130,Montalbo,1.4379084967320261,2.3066485753052914,-1.4267185473411155,0.6631299734748011,-8.07537012113055,-6.539509536784741,-6.657608695652175,-5.890603085553997,-9.103840682788052,-16.865869853917662,-16.276041666666664,-15.592783505154639,-14.974619289340103,-8.355437665782492,-8.289473684210526,-7.114624505928854
16131,Monteagudo de las Salinas,20.491803278688526,34.74576271186441,29.629629629629626,15.671641791044777,2.4,-3.7593984962406015,9.923664122137405,-9.523809523809524,-21.568627450980394,-29.03225806451613,-18.354430379746837,-14.285714285714285,-12.5,-24.528301886792452,-23.42857142857143,-20.0
16132,Mota de Altarejos,-21.666666666666668,-24.137931034482758,-27.586206896551722,-36.0655737704918,-37.096774193548384,-37.5,-43.63636363636363,-37.5,-34.54545454545455,-34.54545454545455,-30.612244897959183,-34.04255319148936,-30.434782608695656,-22.727272727272727,-30.952380952380953,-30.76923076923077
16133,Mota del Cuervo,13.81315885132679,16.503418961374976,17.098255280073463,14.981949458483754,11.888731396172927,9.942034076936588,6.6897147796024194,2.249661705006766,0.49975012493753124,-0.7897334649555774,-3.1997414350355524,-3.3056531459597576,-4.31266846361186,-3.7277918781725887,-4.203262233375157,-3.90894819466248
16134,Motilla del Palancar,19.349690803909834,25.25272947836636,20.722470382598562,21.416134648868255,18.9424753050552,12.795575896262395,9.387755102040817,7.367655084591595,6.809583858764187,6.03202846975089,3.820980010613834,-1.1031255223132208,-3.2917139614074915,-2.728006456820016,-1.5604890604890604,-0.2708731676226896
16135,Moya,-25.357142857142854,-30.215827338129497,-32.0945945945946,-37.22397476340694,-36.51877133105802,-39.00709219858156,-38.70967741935484,-36.57587548638132,-36.51452282157676,-41.02564102564102,-36.23853211009174,-34.92822966507177,-39.719626168224295,-34.02061855670103,-15.422885572139302,-25.628140703517587
16137,Narboneta,-44.34782608695652,-51.32743362831859,-44.71544715447154,-54.166666666666664,-54.20560747663551,-51.64835164835166,-60.28368794326241,-48.67256637168141,-47.31182795698925,-41.0958904109589,-50.0,-40.625,-37.3134328358209,-25.454545454545453,-22.058823529411764,-21.818181818181817
16139,Olivares de Júcar,-27.666666666666668,-27.689594356261022,-29.107142857142858,-30.303030303030305,-32.42258652094718,-34.50184501845018,-32.748538011695906,-31.702544031311152,-32.86852589641434,-29.979035639413,-29.50108459869848,-29.03225806451613,-28.743961352657006,-28.292682926829265,-21.91435768261965,-24.04092071611253
16140,Olmeda de la Cuesta,-37.03703703703704,-24.489795918367346,-17.02127659574468,-20.408163265306122,-19.148936170212767,-20.930232558139537,-31.70731707317073,-19.047619047619047,-29.268292682926827,-46.15384615384615,-44.44444444444444,-35.294117647058826,-34.375,-43.24324324324324,-43.58974358974359,-48.717948717948715
16141,Olmeda del Rey,-24.409448818897637,-31.983805668016196,-37.79527559055118,-39.516129032258064,-40.17094017094017,-41.88034188034188,-38.91402714932127,-36.69724770642202,-38.028169014084504,-36.36363636363637,-32.99492385786802,-31.770833333333332,-27.77777777777778,-20.238095238095237,-19.62025316455696,-18.0
16142,Olmedilla de Alarcón,-29.81651376146789,-15.846994535519126,-12.994350282485875,-10.614525139664805,-7.55813953488372,-1.8072289156626504,6.756756756756757,11.564625850340136,11.188811188811188,-3.821656050955414,8.75912408759124,-4.57516339869281,-6.578947368421052,-11.688311688311687,-13.636363636363635,-20.0
16143,Olmedilla de Eliz,-36.11111111111111,-32.35294117647059,-35.483870967741936,-29.03225806451613,-29.03225806451613,-27.586206896551722,-29.629629629629626,-44.827586206896555,-36.0,-44.44444444444444,-42.30769230769231,-39.130434782608695,-34.78260869565217,-26.08695652173913,10.0,-13.636363636363635
16145,Osa de la Vega,-6.011730205278592,-7.088989441930618,-7.142857142857142,-6.531881804043546,-7.8125,-11.580594679186229,-13.787638668779714,-20.909090909090907,-22.923076923076923,-25.154320987654323,-26.758409785932724,-27.45709828393136,-27.432216905901118,-27.435064935064936,-27.495908346972175,-26.28951747088186
16146,Pajarón,-22.142857142857142,-31.654676258992804,-33.33333333333333,-32.142857142857146,-31.297709923664126,-28.57142857142857,-31.70731707317073,-28.205128205128204,-33.05084745762712,-27.67857142857143,-29.310344827586203,-27.522935779816514,-23.762376237623762,-18.947368421052634,-18.75,-21.052631578947366
16147,Pajaroncillo,-17.346938775510203,-13.402061855670103,-14.000000000000002,-17.525773195876287,-18.181818181818183,-26.08695652173913,-16.483516483516482,-21.27659574468085,-14.772727272727273,-24.719101123595504,-21.686746987951807,-22.22222222222222,-25.333333333333336,-25.0,-32.55813953488372,-22.5
16148,Palomares del Campo,-23.410404624277454,-21.726190476190478,-30.82502266545784,-26.01787487586892,-29.19563058589871,-28.848114169215087,-27.582534611288605,-29.52586206896552,-29.21719955898567,-28.734321550741164,-28.418549346016647,-28.050314465408803,-28.802992518703242,-29.02408111533587,-26.998689384010483,-25.503355704697988
16149,Palomera,10.465116279069768,26.797385620915033,10.857142857142858,18.787878787878785,11.042944785276074,-0.5434782608695652,-0.53475935828877,-11.64021164021164,-10.674157303370785,-6.470588235294119,-12.755102040816327,-15.789473684210526,-16.0427807486631,-12.886597938144329,-2.5773195876288657,-2.5510204081632653
16150,Paracuellos,-11.25,-14.285714285714285,-10.897435897435898,-15.483870967741936,-17.105263157894736,-16.911764705882355,-30.612244897959183,-34.64052287581699,-37.34177215189873,-35.6687898089172,-36.91275167785235,-34.50704225352113,-31.57894736842105,-27.27272727272727,-32.37410071942446,-24.427480916030532
16151,Paredes,33.33333333333333,9.75609756097561,10.38961038961039,1.282051282051282,-15.66265060240964,-19.51219512195122,-27.77777777777778,-22.61904761904762,-31.914893617021278,-41.41414141414141,-39.44954128440367,-42.0,-42.42424242424242,-38.88888888888889,-11.76470588235294,-13.924050632911392
16152,"Parra de las Vegas, La",-39.39393939393939,-40.98360655737705,-28.125,-30.64516129032258,-28.57142857142857,-28.57142857142857,-12.0,-2.1739130434782608,-9.30232558139535,-12.82051282051282,-23.25581395348837,-12.5,-19.51219512195122,-8.333333333333332,-26.08695652173913,-18.6046511627907
16153,"Pedernoso, El",-6.72579453067258,-3.9764359351988214,-2.692595362752431,-3.2551097653292964,-3.875379939209726,-4.337539432176656,-8.88888888888889,-9.25925925925926,-13.171839515518545,-12.5,-14.001530221882172,-9.667194928684628,-10.229976209357652,-13.726993865030677,-13.604919292851653,-12.597809076682315
16154,"Pedroñeras, Las",10.251240694789082,13.256032591664054,11.603670866386686,11.145510835913312,4.650455927051671,-1.3556851311953353,-1.5740072202166067,-3.3808085167601782,-6.758288466987815,-5.362046538517127,-4.776933008176732,-6.611337740891828,-8.07367400637031,-8.923630326508023,-8.710801393728223,-9.220055710306408
16155,"Peral, El",7.280219780219781,13.850415512465375,16.71195652173913,12.73972602739726,9.491059147180192,2.73224043715847,-3.616133518776078,-13.150684931506849,-15.477792732166892,-16.18655692729767,-14.709851551956815,-18.053777208706787,-21.464019851116625,-20.92457420924574,-23.864959254947614,-21.263669501822598
16156,"Peraleja, La",-16.77018633540373,-16.99346405228758,-17.441860465116278,-19.298245614035086,-27.388535031847134,-25.503355704697988,-25.850340136054424,-25.179856115107913,-27.480916030534353,-33.33333333333333,-32.63888888888889,-35.07462686567165,-30.597014925373134,-23.62204724409449,-40.845070422535215,-45.65217391304348
16157,"Pesquera, La",-9.285714285714286,-10.37037037037037,-5.454545454545454,-11.702127659574469,-9.89010989010989,-7.6923076923076925,-9.157509157509157,-11.940298507462686,-15.730337078651685,-12.601626016260163,-15.354330708661418,-20.47244094488189,-16.733067729083665,-12.396694214876034,-15.769230769230768,-6.024096385542169
16158,"Picazo, El",10.719131614654003,6.786703601108034,4.761904761904762,5.077574047954866,0.2820874471086037,-1.8055555555555554,-1.2517385257301807,-5.88235294117647,-11.926605504587156,-11.009174311926607,-13.618677042801556,-17.524509803921568,-16.455696202531644,-12.5810635538262,-7.754010695187167,-5.503355704697987
16159,Pinarejo,-29.591836734693878,-27.659574468085108,-8.536585365853659,-29.82885085574572,-41.27764127764127,-38.24289405684754,-36.193029490616624,-34.07202216066482,-36.235955056179776,-39.6600566572238,-41.27423822714682,-41.15942028985507,-40.12539184952978,-38.23529411764706,-49.333333333333336,-36.933797909407666
16160,Pineda de Gigüela,-42.69005847953216,-46.540880503144656,-48.07692307692308,-50.0,-48.97959183673469,-47.482014388489205,-50.71428571428571,-55.47445255474452,-50.40650406504065,-49.572649572649574,-42.30769230769231,-40.816326530612244,-31.46067415730337,-27.058823529411764,-25.925925925925924,-26.666666666666668
