Mun_Code;Municipality;Population_2024;Distance_to_50k_city_km;Distance_class;Var_2011_2017_pct;Var_2018_2021_pct;Var_2021_2024_pct;Municipality_size;Comarca;Province;CCAA
26115;Pinillos;19,0;32,47;30-60 km;0,0;33,33;-5,0;<1,000 (very small rural);SIERRA RIOJA MEDIA;La Rioja;La Rioja
19087;Cincovillas;19,0;68,93;>60 km;-12,0;-13,04;-5,0;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
19091;Cogollor;19,0;43,26;30-60 km;-12,12;-30,0;-9,52;<1,000 (very small rural);ALCARRIA ALTA;Guadalajara;Castilla-La Mancha
05063;Collado del Mirón;20,0;52,92;30-60 km;-22,22;-9,38;-31,03;<1,000 (very small rural);BARCO AVILA-PIEDRAHITA;Ávila;Castilla y León
16234;Valsalobre;20,0;47,96;30-60 km;-55,17;-25,0;-4,76;<1,000 (very small rural);SERRANIA ALTA;Cuenca;Castilla-La Mancha
19052;La Bodera;20,0;58,9;30-60 km;-31,43;-19,23;-4,76;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
40158;Perosillo;20,0;54,33;30-60 km;-33,33;0,0;33,33;<1,000 (very small rural);CUELLAR;Segovia;Castilla y León
16140;Olmeda de la Cuesta;20,0;42,05;30-60 km;-25,64;0,0;-4,76;<1,000 (very small rural);ALCARRIA;Cuenca;Castilla-La Mancha
42153;Rello;20,0;85,58;>60 km;-31,82;7,14;33,33;<1,000 (very small rural);ALMAZAN;Soria;Castilla y León
19073;Casas de San Galindo;20,0;31,41;30-60 km;-25,0;5,56;5,26;<1,000 (very small rural);ALCARRIA ALTA;Guadalajara;Castilla-La Mancha
42010;Aldealices;20,0;63,12;>60 km;20,0;-14,71;-31,03;<1,000 (very small rural);TIERRAS ALTAS Y VALLE DEL TERA;Soria;Castilla y León
42065;Cirujales del Río;20,0;67,02;>60 km;-21,43;-9,09;0,0;<1,000 (very small rural);CAMPO DE GOMARA;Soria;Castilla y León
42079;Escobosa de Almazán;20,0;108,25;>60 km;-28,12;-9,09;0,0;<1,000 (very small rural);ALMAZAN;Soria;Castilla y León
05206;San Esteban de los Patos;20,0;8,73;<=30 km;-5,71;-23,33;-13,04;<1,000 (very small rural);AVILA;Ávila;Castilla y León
19267;Terzaga;20,0;55,53;30-60 km;4,55;-9,09;0,0;<1,000 (very small rural);MOLINA DE ARAGON;Guadalajara;Castilla-La Mancha
34161;San Cristóbal de Boedo;20,0;58,85;30-60 km;-11,54;0,0;-13,04;<1,000 (very small rural);BOEDO-OJEDA;Palencia;Castilla y León
44224;Torre de las Arcas;20,0;94,61;>60 km;-20,0;-10,71;-20,0;<1,000 (very small rural);SERRANIA DE MONTALBAN;Teruel;Aragón
19288;Tortuero;21,0;38,78;30-60 km;-15,0;-5,56;23,53;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
19136;Hijes;21,0;70,29;>60 km;-32,14;-5,26;16,67;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
42016;Aliud;21,0;91,47;>60 km;-34,62;22,22;-4,55;<1,000 (very small rural);CAMPO DE GOMARA;Soria;Castilla y León
16071;Castillo-Albaráñez;21,0;34,91;30-60 km;-21,43;-4,76;5,0;<1,000 (very small rural);ALCARRIA;Cuenca;Castilla-La Mancha
31211;Orreaga/Roncesvalles;21,0;35,7;30-60 km;-12,5;-9,52;10,53;<1,000 (very small rural);PIRINEOS;Navarra;Comunidad Foral de Navarra
26030;Bezares;21,0;20,92;<=30 km;5,26;31,58;-16,0;<1,000 (very small rural);RIOJA ALTA;La Rioja;La Rioja
42059;Centenera de Andaluz;21,0;103,79;>60 km;-15,38;0,0;0,0;<1,000 (very small rural);ALMAZAN;Soria;Castilla y León
42083;Frechilla de Almazán;21,0;101,93;>60 km;-7,41;-16,67;5,0;<1,000 (very small rural);ALMAZAN;Soria;Castilla y León
09202;Manciles;21,0;24,48;<=30 km;-14,29;0,0;-4,55;<1,000 (very small rural);PISUERGA;Burgos;Castilla y León
40229;Villaverde de Montejo;21,0;79,55;>60 km;-28,57;14,81;-32,26;<1,000 (very small rural);SEPULVEDA;Segovia;Castilla y León
42051;Carabantes;22,0;90,09;>60 km;-20,83;-6,25;46,67;<1,000 (very small rural);CAMPO DE GOMARA;Soria;Castilla y León
19210;Paredes de Sigüenza;22,0;76,53;>60 km;-47,37;26,32;-8,33;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
47008;Almenara de Adaja;22,0;51,15;30-60 km;-13,79;9,52;-4,35;<1,000 (very small rural);SURESTE;Valladolid;Castilla y León
09368;Sordillos;22,0;35,87;30-60 km;-18,52;21,74;-21,43;<1,000 (very small rural);PISUERGA;Burgos;Castilla y León
42156;Reznos;22,0;91,28;>60 km;-11,76;3,33;-29,03;<1,000 (very small rural);CAMPO DE GOMARA;Soria;Castilla y León
37368;Villasdardo;22,0;41,46;30-60 km;-19,05;4,35;-8,33;<1,000 (very small rural);LEDESMA;Salamanca;Castilla y León
26035;Cabezón de Cameros;22,0;31,0;30-60 km;-27,27;-5,0;15,79;<1,000 (very small rural);SIERRA RIOJA MEDIA;La Rioja;La Rioja
34179;Tabanera de Valdavia;22,0;71,59;>60 km;-25,71;-4,0;-8,33;<1,000 (very small rural);SALDAÑA-VALDAVIA;Palencia;Castilla y León
34024;Baquerín de Campos;22,0;17,0;<=30 km;-15,38;-7,14;-15,38;<1,000 (very small rural);CAMPOS;Palencia;Castilla y León
50021;Almochuel;22,0;54,08;30-60 km;-18,92;-17,24;-8,33;<1,000 (very small rural);ZARAGOZA;Zaragoza;Aragón
12037;Castell de Cabres;22,0;75,06;>60 km;0,0;15,79;0,0;<1,000 (very small rural);ALTO MAESTRAZGO;Castelló/Castellón;Comunitat Valenciana
19277;Torrecuadrada de Molina;22,0;60,41;>60 km;-4,76;-5,26;22,22;<1,000 (very small rural);MOLINA DE ARAGON;Guadalajara;Castilla-La Mancha
09430;Villaespasa;22,0;35,52;30-60 km;22,22;12,5;-18,52;<1,000 (very small rural);DEMANDA;Burgos;Castilla y León
19281;Torremocha de Jadraque;23,0;47,32;30-60 km;-36,11;-13,04;15,0;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
09068;Cantabrana;23,0;46,33;30-60 km;-3,45;-7,41;-8,0;<1,000 (very small rural);BUREBA-EBRO;Burgos;Castilla y León
37104;Cilleros de la Bastida;23,0;53,93;30-60 km;-28,21;-16,0;9,52;<1,000 (very small rural);LA SIERRA;Salamanca;Castilla y León
26081;Jalón de Cameros;23,0;27,88;<=30 km;-25,0;5,56;21,05;<1,000 (very small rural);SIERRA RIOJA MEDIA;La Rioja;La Rioja
47151;San Salvador;23,0;25,51;<=30 km;-16,22;-17,24;-4,17;<1,000 (very small rural);CENTRO;Valladolid;Castilla y León
09381;Tinieblas de la Sierra;23,0;32,37;30-60 km;-10,0;-17,65;-17,86;<1,000 (very small rural);DEMANDA;Burgos;Castilla y León
42176;Tajahuerce;23,0;82,82;>60 km;-9,38;-14,29;-4,17;<1,000 (very small rural);CAMPO DE GOMARA;Soria;Castilla y León
05018;Avellaneda;23,0;66,47;>60 km;-3,33;0,0;-11,54;<1,000 (very small rural);BARCO AVILA-PIEDRAHITA;Ávila;Castilla y León
44032;Bádenas;24,0;66,62;>60 km;-14,29;-10,0;33,33;<1,000 (very small rural);SERRANIA DE MONTALBAN;Teruel;Aragón
16030;Bascuñana de San Pedro;24,0;19,61;<=30 km;-12,0;5,26;20,0;<1,000 (very small rural);SERRANIA MEDIA;Cuenca;Castilla-La Mancha
09230;Navas de Bureba;24,0;46,93;30-60 km;-20,93;-11,43;-22,58;<1,000 (very small rural);BUREBA-EBRO;Burgos;Castilla y León
42213;Villaseca de Arciel;24,0;97,18;>60 km;-7,89;-29,41;0,0;<1,000 (very small rural);CAMPO DE GOMARA;Soria;Castilla y León
09422;La Vid de Bureba;24,0;44,18;30-60 km;-39,29;11,76;26,32;<1,000 (very small rural);BUREBA-EBRO;Burgos;Castilla y León
