Mun_Code,Mun,pop_1996_2022 (k=26),pop_1998_2024 (k=26)
11010,Bornos,-5.550037248572138,-6.561647233936989
11011,"Bosque, El",22.586015538290788,22.69503546099291
11012,Cádiz,-22.342113396751262,-22.507667907971133
11013,Castellar de la Frontera,27.428810720268004,22.57001647446458
11014,Conil de la Frontera,40.81021154191886,40.417812628006324
11015,Chiclana de la Frontera,65.07801739589819,61.80848380005045
11016,Chipiona,26.253383167934015,24.554381137031708
11017,Espera,-3.7540942302847067,-4.548900682335103
11018,"Gastor, El",-15.4726368159204,-15.732009925558312
11019,Grazalema,-12.750217580504785,-11.436170212765957
11020,Jerez de la Frontera,16.712112317508737,17.668307617757513
11021,Jimena de la Frontera,-25.758417601955774,-25.178810907465355
11022,"Línea de la Concepción, La",6.709055031791274,7.62716128058495
11023,Medina Sidonia,9.2,8.204562178072111
11024,Olvera,-11.31131131131131,-11.481314723097704
11025,Paterna de Rivera,7.0292558413508734,7.4985354422964265
11026,Prado del Rey,-1.379671673070206,-2.0397579948141744
11027,"Puerto de Santa María, El",23.426718189345845,22.01605902777778
11028,Puerto Real,26.89527956696604,26.143947329043844
11029,Puerto Serrano,4.465757530346171,3.3098697019619587
11030,Rota,21.87874529900401,19.624352331606218
11031,San Fernando,9.592231200950142,11.463565596210156
11032,Sanlúcar de Barrameda,14.141893661602934,13.837932944511419
11033,San Roque,48.94442439552508,53.16727891765971
11034,Setenil de las Bodegas,-14.754620777565327,-16.166134185303516
11035,Tarifa,23.817781631428,23.455483529567402
11036,Torre Alháquime,-21.11984282907662,-19.230769230769234
11037,Trebujena,1.373825018076645,1.270391222751552
11038,Ubrique,-9.496188266489892,-8.468819599109132
11039,Vejer de la Frontera,-1.3023473446151446,1.4452910219150106
11040,Villaluenga del Rosario,-9.58904109589041,2.4390243902439024
11041,Villamartín,1.0696080889111723,1.7219760929532726
11042,Zahara,-11.089494163424124,-12.693298969072163
11901,Benalup-Casas Viejas,19.91291240998158,16.976857096617575
11902,San José del Valle,3.5822284252151664,3.470615455807496
11903,San Martín del Tesorillo,,
12001,Atzeneta del Maestrat,-13.391655450874831,-10.648464163822526
12002,Aín,4.615384615384616,-15.483870967741936
12003,Albocàsser,-9.64974982130093,-2.6200873362445414
12004,Alcalà de Xivert,38.98270600203459,46.38922888616891
12005,"Alcora, l'",20.849688293696605,20.402822030040966
12006,Alcudia de Veo,7.734806629834254,20.33898305084746
12007,Alfondeguilla,-4.8806941431670285,-5.331882480957562
12008,Algimia de Almonacid,-21.08626198083067,-10.416666666666668
12009,Almassora,67.93204955231204,73.07622228970544
12010,Almedíjar,-10.333333333333334,1.76678445229682
12011,Almenara,27.301713830211238,34.17316536692662
12012,Altura,18.558034270934368,20.5470737913486
12013,Arañuel,21.804511278195488,11.971830985915492
12014,Ares del Maestrat,-38.43416370106761,-33.45864661654135
12015,Argelita,39.09090909090909,24.786324786324787
12016,Artana,3.666841278156103,5.457463884430177
12017,Ayódar,-29.411764705882355,-18.385650224215247
