Mun_Code,Mun,pop_1996_2018 (k=22),pop_1998_2020 (k=22),pop_1999_2021 (k=22),pop_2000_2022 (k=22),pop_2001_2023 (k=22),pop_2002_2024 (k=22)
2078,Villalgordo del Júcar,-16.039156626506024,-17.080511662904442,-17.228177641653904,-17.220077220077222,-14.890282131661442,-11.529411764705882
2079,Villamalea,19.222963177732677,17.66406475860075,16.225546605293438,13.79800853485064,10.056022408963585,7.756983997830215
2080,Villapalacios,-35.13215859030837,-32.2093023255814,-34.12322274881517,-32.971014492753625,-29.19334186939821,-25.265957446808514
2081,Villarrobledo,13.877735168057747,13.247362250879249,12.528720097310448,11.71664571736398,9.822985699337286,7.883498462589682
2082,Villatoya,-51.03092783505154,-43.523316062176164,-45.17766497461929,-44.50261780104712,-37.362637362637365,-39.247311827956985
2083,Villavaliente,-26.384364820846905,-24.398625429553263,-25.694444444444443,-28.368794326241137,-23.722627737226276,-27.956989247311824
2084,Villaverde de Guadalimar,-40.35087719298245,-42.37588652482269,-38.67403314917127,-39.20454545454545,-39.494163424124515,-38.24701195219124
2085,Viveros,-42.857142857142854,-41.66666666666667,-41.32379248658318,-37.732342007434944,-40.76923076923077,-40.4296875
2086,Yeste,-46.66932588751496,-43.86944384797079,-42.23672367236724,-41.705607476635514,-40.389704113543424,-37.13355048859935
2901,Pozo Cañada,,,,,1.4639639639639639,1.5849056603773584
3001,"Atzúbia, l'",13.573883161512027,5.526770293609672,9.13978494623656,12.614259597806216,6.666666666666667,-1.8181818181818181
3002,Agost,17.32636295743092,19.164802386278897,21.046138662718974,20.83028083028083,22.214182344428366,19.211017740429508
3003,Agres,-16.00609756097561,-13.36405529953917,-10.631741140215716,-7.82472613458529,-2.0569620253164556,-2.086677367576244
3004,Aigües,72.05882352941177,76.70250896057348,81.17443868739205,86.74698795180723,93.58108108108108,90.5448717948718
3005,Albatera,43.067601283117504,46.39126863044243,46.79598198822307,45.9993190330269,44.18502202643172,42.00576738224928
3006,Alcalalí,54.156769596199524,59.168704156479215,41.976620616365565,37.51274209989806,36.42578125,30.064754856614247
3007,Alcosser,87.70491803278688,73.84615384615385,97.5609756097561,96.89922480620154,87.68115942028986,68.18181818181817
3008,Alcoleja,-38.775510204081634,-36.55913978494624,-33.210332103321036,-23.73540856031128,-26.5625,-24.081632653061224
3009,Alcoi/Alcoy,-3.1910178756093956,-1.855281433957272,-2.2289833983729084,-2.421263426178773,-1.3186703821656052,-0.15380798809228477
3010,Alfafara,4.092071611253197,3.571428571428571,5.154639175257731,5.83756345177665,7.712082262210797,1.7241379310344827
3011,"Alfàs del Pi, l'",59.823065274567625,52.46861924686193,54.959927415696356,46.17724025744395,36.96929238985314,27.208480565371023
3012,Algorfa,148.94736842105263,167.5513698630137,178.36065573770492,182.6226870474658,141.20769741207698,131.84392699811204
3013,Algueña,-5.894736842105263,-7.142857142857142,-8.567511994516792,-6.63441603317208,-4.05777166437414,-8.333333333333332
3014,Alacant/Alicante,20.759204157667977,23.877518059552475,23.81218065425501,22.28028863864551,23.315315824221607,22.167769532300966
3015,Almoradí,52.40002967579197,57.10793392103118,57.31295016904306,55.00108640544651,56.29867809932119,56.7182921724571
3016,Almudaina,-16.8,-7.627118644067797,5.405405405405405,-4.273504273504273,-1.7857142857142856,4.424778761061947
3017,"Alqueria d'Asnar, l'",20.638820638820636,24.81012658227848,19.71153846153846,16.985645933014354,18.287037037037038,20.13888888888889
3018,Altea,62.696945040313636,61.40526617057813,54.01400312691184,47.69882534180628,46.18878114643427,36.09154929577465
3019,Aspe,25.294368860960283,26.80726563452395,27.868057239873878,27.71048032302778,28.642463455547567,29.41211121583412
3020,Balones,-30.681818181818183,-28.08988764044944,-25.96685082872928,-31.147540983606557,-35.32608695652174,-27.22222222222222
3021,Banyeres de Mariola,0.8078231292517007,3.5338785046728973,3.8697429906542054,4.2716478424558355,3.895173993985393,3.645390070921986
3022,Benasau,-25.71428571428571,-22.0,-12.82051282051282,-9.523809523809524,-7.4866310160427805,-12.755102040816327
3023,Beneixama,-5.336297943301834,-5.902004454342984,-4.955456570155902,-5.013927576601671,-7.771739130434782,-7.544052863436123
3024,Benejúzar,7.02735076861649,7.262680086836393,7.617919873692521,10.886280857952247,12.342720191731575,13.508667065152421
3025,Benferri,91.88921859545005,100.10183299389001,90.83820662768031,85.30805687203792,84.2440801457195,80.40421792618629
3026,Beniarbeig,64.15562913907284,79.1701244813278,84.81327800829875,93.43003412969283,87.63955342902712,77.38095238095238
3027,Beniardà,-20.535714285714285,-7.4074074074074066,-8.133971291866029,6.341463414634147,26.0,21.761658031088082
3028,Beniarrés,-23.633879781420767,-24.04975812024879,-23.40876944837341,-22.83464566929134,-22.325249643366618,-20.980533525594808
3029,Benigembla,13.846153846153847,15.968586387434556,24.164524421593832,30.612244897959183,41.31578947368421,23.672566371681416
3030,Benidoleig,41.7624521072797,38.028169014084504,42.71725826193391,43.25581395348837,33.84615384615385,26.059979317476735
3031,Benidorm,35.00799360511591,38.28367290856986,30.79383101523323,28.381289004252498,26.412357803134885,21.6961142261051
3032,Benifallim,-36.09467455621302,-31.125827814569533,-29.931972789115648,-28.37837837837838,-21.27659574468085,-17.142857142857142
3033,Benifato,6.428571428571428,0.0,-2.1739130434782608,-6.081081081081082,-9.67741935483871,-12.195121951219512
3034,Benijófar,110.86683417085428,103.14620604565083,100.78549848942598,83.65487674169346,62.89868667917449,42.60476581758422
3035,Benilloba,-22.788761706555672,-21.598272138228943,-19.891304347826086,-19.739696312364423,-21.007502679528404,-16.349384098544235
3036,Benillup,-10.476190476190476,5.263157894736842,7.446808510638298,16.129032258064516,14.130434782608695,17.20430107526882
3037,Benimantell,13.425925925925927,19.18465227817746,19.570405727923628,20.240963855421686,33.16708229426434,44.97354497354497
3038,Benimarfull,1.2254901960784315,-2.7027027027027026,-2.2167487684729066,0.0,3.431372549019608,7.710843373493977
3039,Benimassot,-21.311475409836063,-4.62962962962963,-47.56756756756757,-46.24277456647399,-28.08219178082192,-32.3943661971831
3040,Benimeli,24.620060790273556,29.607250755287005,26.13981762917933,28.52760736196319,35.41666666666667,34.82142857142857
3041,Benissa,17.631636443084993,20.495303159692572,18.323526375554867,17.79122841833697,16.32247063281546,11.455976834675594
3042,"Poble Nou de Benitatxell, el/Benitachell",107.64203117144294,122.37762237762237,108.68137024870951,102.72491349480968,90.28593811202506,65.45020463847203
3043,Biar,2.3262331838565022,3.599773242630386,2.572801809443031,1.403705783267827,2.0945372204924992,1.5651201788708775
3044,Bigastro,41.96144884558357,44.418896321070235,44.833298819631395,45.21384928716905,46.08057154197262,41.731832920083924
3045,Bolulla,36.60130718954248,38.079470198675494,34.810126582278485,27.469135802469136,27.536231884057973,36.901408450704224
3046,Busot,113.03714493809176,104.72703062583221,98.57585139318886,94.70005824111823,97.09983268265476,93.54666666666667
3047,Calp,52.173607203151384,57.40603279573521,50.78500480615188,44.0028685830395,43.338692687253975,33.417897826195095
3048,Callosa d'en Sarrià,14.789623536855427,18.084772370486657,19.23016496465043,17.956226880394574,4.472756844673354,-0.08787346221441124
3049,Callosa de Segura,23.86080105055811,26.25082508250825,26.04146229808384,25.348822116944643,25.113979323187568,22.82411746329272
3050,"Campello, el",83.50657894736842,78.87837754281828,65.18446823047141,60.12740934335184,55.90497972762242,50.05148825577403
3051,"Camp de Mirra, el/Campo de Mirra",12.928759894459102,9.162303664921465,11.139896373056994,9.06801007556675,9.950248756218906,7.74818401937046
3052,Cañada,11.580882352941178,10.218978102189782,6.244424620874219,5.212014134275619,5.034722222222222,2.682313495389774
3053,Castalla,29.471890971039183,37.953316629302385,40.898964749049924,45.41999737911152,46.9295410471881,46.3727959697733
3054,Castell de Castells,-12.825651302605209,-7.218683651804671,-8.60215053763441,-8.583690987124463,-0.8908685968819599,2.7777777777777777
3055,Catral,76.82851874615857,81.81446669391092,78.3490660775256,79.0901835594573,80.23707734162457,75.14869888475837
3056,Cocentaina,6.696470149948776,8.967082860385926,8.314415437003406,7.928926251432938,7.745807926829268,7.987129743541213
3057,Confrides,-30.666666666666664,-7.773851590106007,-12.297734627831716,-13.230769230769232,-2.941176470588235,3.1358885017421603
3058,Cox,25.669565217391305,27.47670003451847,27.919393730623494,27.570815450643778,26.353851328624284,22.147435897435898
