Mun_Code,Mun,pop_1996_2021 (k=25),pop_1998_2023 (k=25),pop_1999_2024 (k=25)
17084,Isòvol,66.13756613756614,66.34146341463415,66.66666666666666
17085,Jafre,12.352941176470589,14.792899408284024,16.566265060240966
17086,"Jonquera, La",40.100671140939596,36.02409638554217,35.776892430278885
17087,Juià,26.254826254826252,30.859375,31.538461538461537
17088,Lladó,69.67871485943775,72.5609756097561,64.48412698412699
17089,Llagostera,63.60443622920518,65.46271338724169,69.06116642958749
17090,Llambilles,62.94642857142857,64.36781609195403,62.22222222222222
17091,Llanars,19.419642857142858,19.37639198218263,8.421052631578947
17092,Llançà,25.995316159250585,23.129770992366414,24.13360120542441
17093,Llers,50.3001200480192,39.289805269186715,35.35791757049891
17094,Llívia,62.77056277056276,54.46153846153846,62.33090530697191
17095,Lloret de Mar,130.31066330814443,132.49790209790208,123.72774539152356
17096,"Llosses, Les",-22.304832713754646,-24.814814814814813,-27.636363636363637
17097,Madremanya,62.637362637362635,58.91891891891892,53.72340425531915
17098,Maià de Montcal,46.5625,41.641337386018236,56.36942675159236
17099,Meranges,38.57142857142858,56.16438356164384,40.0
17100,Masarac,14.979757085020243,22.540983606557376,24.267782426778243
17101,Massanes,63.87755102040816,69.10569105691057,66.600790513834
17102,Maçanet de Cabrenys,13.72854914196568,19.426751592356688,18.76923076923077
17103,Maçanet de la Selva,125.22218817039534,125.31682027649768,116.83006535947713
17105,Mieres,16.333333333333332,11.0062893081761,4.491017964071856
17106,Mollet de Peralada,7.650273224043716,19.444444444444446,16.847826086956523
17107,Molló,4.2042042042042045,11.242603550295858,9.037900874635568
17109,Montagut i Oix,23.346303501945524,22.22222222222222,28.040973111395644
17110,Mont-ras,11.466666666666667,8.436080467229072,5.691056910569105
17111,Navata,109.34306569343066,120.96530920060331,119.25373134328359
17112,Ogassa,-2.0408163265306123,-6.172839506172839,-8.786610878661087
17114,Olot,32.082817844407245,37.37158153668065,39.57719134248939
17115,Ordis,30.3886925795053,36.933797909407666,37.45704467353952
17116,Osor,-16.30648330058939,-12.5,-10.683760683760683
17117,Palafrugell,33.190776165982776,35.77772716920975,36.394252357431526
17118,Palamós,27.78987288433176,26.85852981969487,26.533242876526458
17119,Palau de Santa Eulàlia,18.085106382978726,50.588235294117645,52.80898876404494
17120,Palau-saverdera,97.87516600265604,87.5784190715182,64.44201312910285
17121,Palau-sator,12.937062937062937,9.79020979020979,2.73972602739726
17122,Palmerola,,,
17123,Palol de Revardit,22.19178082191781,27.79291553133515,25.675675675675674
17124,Pals,42.14689265536723,39.352360043907794,38.762214983713356
17125,Pardines,19.424460431654676,26.119402985074625,15.827338129496402
17126,Parlavà,22.551928783382788,25.914634146341463,29.393939393939394
17128,Pau,49.61832061068702,33.734939759036145,39.04761904761905
17129,Pedret i Marzà,66.96428571428571,59.64912280701754,50.4
17130,"Pera, La",26.197183098591548,21.62162162162162,21.62162162162162
17132,Peralada,69.57279860505668,69.86531986531986,64.81481481481481
17133,"Planes d'Hostoles, Les",-1.835915088927137,0.6303724928366762,0.6340057636887608
17134,Planoles,17.358490566037734,17.100371747211895,10.469314079422382
17135,Pont de Molins,19.90740740740741,23.77777777777778,28.000000000000004
17136,Pontós,22.22222222222222,33.175355450236964,34.883720930232556
17137,Porqueres,43.366880146386094,39.609813774756134,36.827114782113355
17138,Portbou,-32.15613382899628,-32.9559748427673,282.3321554770318
17139,"Preses, Les",41.296156744536546,44.166666666666664,43.54958985831469
17140,"Port de la Selva, El",24.231242312423124,33.631713554987215,25.117924528301888
17141,Puigcerdà,49.74826935179358,48.389057750759875,49.39543215405284
17142,Quart,81.62976919453604,84.42510306917087,80.17582417582418
17143,Rabós,39.189189189189186,48.175182481751825,55.4054054054054
17144,Regencós,1.4388489208633095,-7.241379310344828,-4.4520547945205475
17145,Ribes de Freser,-17.115027829313544,-13.458823529411765,-12.795089707271009
17146,Riells i Viabrea,198.6703988803359,162.51482799525505,141.6219119226638
17147,Ripoll,-1.7143381004767144,-2.026841961106546,-1.1647254575707155
17148,Riudarenes,87.90123456790123,85.52108194112968,94.35612082670907
17149,Riudaura,31.362467866323907,34.87179487179487,30.617283950617285
17150,Riudellots de la Selva,41.70648464163823,40.496977837474816,41.94831013916501
17151,Riumors,23.232323232323232,22.5130890052356,36.45833333333333
17152,Roses,73.48253940607854,67.5262019630677,64.10380399742101
17153,Rupià,60.86956521739131,64.58333333333334,71.875
17154,Sales de Llierca,148.4848484848485,156.92307692307693,95.06172839506173
17155,Salt,49.7746177796366,53.34440446535659,55.36614425808817
17157,Sant Andreu Salou,6.8493150684931505,19.58041958041958,18.620689655172416
17158,Sant Climent Sescebes,78.89447236180904,58.64485981308412,62.65060240963856
17159,Sant Feliu de Buixalleu,20.238095238095237,24.028776978417266,22.454672245467226
17160,Sant Feliu de Guíxols,24.92266156701727,27.456582633053223,27.580671943322077
17161,Sant Feliu de Pallerols,32.24341507720254,40.80914687774846,48.421052631578945
17162,Sant Ferriol,31.382978723404253,40.11299435028249,11.483253588516746
17163,Sant Gregori,88.35680751173709,89.74706413730804,85.4458041958042
17164,Sant Hilari Sacalm,13.704581358609794,21.342089062179355,21.289537712895378
17165,Sant Jaume de Llierca,11.957950065703022,22.362869198312236,19.40928270042194
17166,Sant Jordi Desvalls,35.374149659863946,40.365448504983384,45.89614740368509
17167,Sant Joan de les Abadesses,-14.3384290985767,-11.676486341724692,-8.931462493254184
17168,Sant Joan de Mollet,36.51226158038147,49.287749287749286,49.43181818181818
17169,Sant Julià de Ramis,85.99382080329558,90.0459418070444,83.48439073514602
17170,Vallfogona de Ripollès,-7.391304347826087,2.3041474654377883,-0.8928571428571428
17171,Sant Llorenç de la Muga,103.81679389312977,116.53543307086613,69.73684210526315
17172,Sant Martí de Llémena,78.2258064516129,79.04040404040404,52.48380129589633
17173,Sant Martí Vell,31.891891891891895,57.30994152046783,60.97560975609756
17174,Sant Miquel de Campmajor,16.826923076923077,12.785388127853881,16.51376146788991
